time,ADM1_EN,ADM2_EN,precipitation,time2,time3
2023-03-10 06:00:00,Vatovavy Fitovinany,Vohipeno,1.18349795554638,2023-03-10,03-10
2023-03-10 09:00:00,Alaotra Mangoro,Ambatondrazaka,0.971084718870849,2023-03-10,03-10
2023-03-10 09:00:00,Alaotra Mangoro,Amparafaravola,0.52426697317569,2023-03-10,03-10
2023-03-10 09:00:00,Alaotra Mangoro,Andilamena,0.510589389318739,2023-03-10,03-10
2023-03-10 09:00:00,Alaotra Mangoro,Anosibe-An'ala,1.94530089108108,2023-03-10,03-10
2023-03-10 09:00:00,Alaotra Mangoro,Moramanga,1.43959547215115,2023-03-10,03-10
2023-03-10 09:00:00,Amoron I Mania,Ambatofinandrahana,0.901222854638827,2023-03-10,03-10
2023-03-10 09:00:00,Amoron I Mania,Ambositra,0.61211381373533,2023-03-10,03-10
2023-03-10 09:00:00,Amoron I Mania,Fandriana,2.39127651765624,2023-03-10,03-10
2023-03-10 09:00:00,Amoron I Mania,Manandriana,0.63681143354188,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Ambohidratrimo,0.369997649739768,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Andramasina,0.920745172001521,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Anjozorobe,0.487336483464664,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Ankazobe,0.223665615514619,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Antananarivo Atsimondrano,0.496221206927051,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Antananarivo Avaradrano,0.509692765023958,2023-03-10,03-10
2023-03-10 09:00:00,Analamanga,Manjakandriana,0.592155564070428,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Fenerive Est,2.44141300446622,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Mananara-Avaratra,1.95556726482558,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Maroantsetra,1.08459592649264,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Sainte Marie,1.22718836273998,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Soanierana Ivongo,2.0268049464495,2023-03-10,03-10
2023-03-10 09:00:00,Analanjirofo,Vavatenina,2.79883844523923,2023-03-10,03-10
2023-03-10 09:00:00,Androy,Ambovombe-Androy,0.00124245567406577,2023-03-10,03-10
2023-03-10 09:00:00,Androy,Bekily,0.0248372817173773,2023-03-10,03-10
2023-03-10 09:00:00,Androy,Beloha,0.0139627853835312,2023-03-10,03-10
2023-03-10 09:00:00,Anosy,Amboasary-Atsimo,0.00462543868412641,2023-03-10,03-10
2023-03-10 09:00:00,Anosy,Betroka,0.0396395045658001,2023-03-10,03-10
2023-03-10 09:00:00,Anosy,Taolagnaro,0.171034361520509,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0959045870472556,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Ankazoabo,0.55362407746813,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Benenitra,0.084676123840603,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Beroroha,0.722972609080898,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Betioky Atsimo,0.346849864243164,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Morombe,0.766662960730945,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Sakaraha,1.45979421960687,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Toliary-I,3.97083773388295,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Andrefana,Toliary-II,2.66754680769929,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Atsinanana,Befotaka,0.0376568347681314,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Atsinanana,Farafangana,0.175985686888453,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.244309570972941,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Atsinanana,Vangaindrano,0.326758944049784,2023-03-10,03-10
2023-03-10 09:00:00,Atsimo Atsinanana,Vondrozo,0.595245514798013,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Antanambao Manampontsy,1.82546031285892,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Brickaville,3.64373519766166,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Mahanoro,1.77251391960195,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Marolambo,2.12933534626888,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Toamasina II,4.6220510268744,2023-03-10,03-10
2023-03-10 09:00:00,Atsinanana,Vatomandry,2.40011399901996,2023-03-10,03-10
2023-03-10 09:00:00,Betsiboka,Kandreho,0.0268113948167647,2023-03-10,03-10
2023-03-10 09:00:00,Betsiboka,Maevatanana,0.0497367819332978,2023-03-10,03-10
2023-03-10 09:00:00,Betsiboka,Tsaratanana,0.18937981320892,2023-03-10,03-10
2023-03-10 09:00:00,Boeny,Ambato Boeni,0.0139405004711201,2023-03-10,03-10
2023-03-10 09:00:00,Boeny,Mahajanga II,0.0143807047890022,2023-03-10,03-10
